epoch,loss_A,id_A_em,id_A_pd,5dig_A_em,5dig_A_pd,6dig_A_em,6dig_A_pd,7dig_A_em,7dig_A_pd
1,2.5868,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
6,0.8154,0.00,24.37,0.00,21.78,0.00,18.91,0.00,17.54
11,0.7015,0.60,40.31,0.07,37.02,0.00,32.45,0.00,29.23
16,0.5023,9.30,68.04,1.47,58.22,0.27,49.10,0.00,42.67
21,0.1982,99.30,99.84,33.27,85.19,0.00,55.67,0.00,45.19
26,0.1084,99.75,99.94,37.93,86.58,0.00,54.24,0.00,44.26
31,0.0658,99.70,99.93,78.37,96.00,0.83,63.11,0.00,46.31
36,0.0429,100.00,100.00,75.87,95.48,0.40,60.32,0.00,45.07
41,0.0309,100.00,100.00,66.63,93.54,0.43,58.49,0.00,44.23
46,0.0236,100.00,100.00,76.33,95.59,0.67,59.86,0.00,44.23
51,0.0180,100.00,100.00,81.73,96.66,1.87,63.84,0.00,45.00
56,0.0148,100.00,100.00,70.97,94.55,0.27,56.87,0.00,42.58
61,0.0127,100.00,100.00,80.23,96.39,1.00,61.80,0.00,44.23
66,0.0105,100.00,100.00,89.13,98.05,5.20,68.95,0.00,43.99
71,0.0093,99.95,99.99,91.17,98.43,8.03,74.17,0.00,45.95
76,0.0080,100.00,100.00,88.30,97.91,6.13,71.45,0.00,45.61
81,0.0070,100.00,100.00,82.43,96.82,1.73,63.30,0.00,44.12
86,0.0062,100.00,100.00,87.77,97.77,2.77,65.27,0.00,42.37
91,0.0054,100.00,100.00,78.33,96.04,0.60,59.39,0.00,42.00
96,0.0045,100.00,100.00,89.07,98.05,6.30,70.15,0.00,43.64
101,0.0049,100.00,100.00,93.53,98.85,6.43,71.11,0.00,44.51
106,0.0042,100.00,100.00,92.70,98.67,5.47,71.78,0.00,43.70
111,0.0036,100.00,100.00,90.10,98.22,7.03,71.36,0.00,44.77
116,0.0037,100.00,100.00,89.50,98.10,1.30,63.71,0.00,42.62
121,0.0031,100.00,100.00,95.10,99.13,4.17,68.27,0.00,41.77
126,0.0032,100.00,100.00,88.80,98.00,2.43,66.89,0.00,43.10
131,0.0037,100.00,100.00,95.90,99.25,3.80,69.89,0.00,43.33
136,0.0037,100.00,100.00,95.43,99.19,7.83,72.73,0.00,44.19
141,0.0031,100.00,100.00,93.63,98.85,4.67,68.99,0.00,44.27
146,0.0025,100.00,100.00,85.07,97.30,1.10,59.97,0.00,42.27
151,0.0023,100.00,100.00,70.53,94.63,0.43,58.62,0.00,42.17
156,0.0048,100.00,100.00,94.00,98.92,3.30,64.68,0.00,42.37
161,0.0020,100.00,100.00,91.17,98.41,6.40,70.49,0.00,43.85
166,0.0017,100.00,100.00,95.57,99.21,5.90,67.49,0.00,42.95
171,0.0017,100.00,100.00,82.73,96.82,0.27,57.67,0.00,42.14
176,0.0018,100.00,100.00,97.57,99.57,7.57,72.26,0.00,43.88
181,0.0015,100.00,100.00,88.27,97.91,2.83,67.28,0.00,44.01
186,0.0017,100.00,100.00,87.17,97.65,1.53,62.83,0.00,43.03
191,0.0015,100.00,100.00,90.13,98.23,4.57,67.98,0.00,42.55
196,0.0017,100.00,100.00,89.80,98.14,1.03,60.50,0.00,41.57
201,0.0013,100.00,100.00,88.97,98.02,2.20,63.89,0.00,43.15
206,0.0012,100.00,100.00,97.27,99.51,6.67,70.74,0.00,42.99
211,0.0015,100.00,100.00,93.77,98.89,5.43,68.21,0.00,43.34
216,0.0014,100.00,100.00,82.10,96.80,1.20,64.52,0.00,43.88
221,0.0015,100.00,100.00,91.37,98.43,6.40,67.96,0.00,43.69
226,0.0013,100.00,100.00,92.90,98.73,6.27,70.89,0.00,43.38
231,0.0014,100.00,100.00,91.83,98.51,2.63,63.35,0.00,41.53
236,0.0011,100.00,100.00,95.97,99.28,10.43,74.28,0.00,43.56
241,0.0010,100.00,100.00,95.47,99.19,15.20,75.81,0.03,46.07
246,0.0015,100.00,100.00,95.17,99.14,10.10,76.60,0.00,46.26
251,0.0010,100.00,100.00,97.67,99.58,16.07,78.87,0.00,45.47
256,0.0011,100.00,100.00,91.73,98.52,7.07,71.93,0.00,45.23
261,0.0009,100.00,100.00,97.20,99.50,14.30,72.74,0.00,43.48
266,0.0008,100.00,100.00,92.40,98.65,5.53,70.35,0.00,44.94
271,0.0012,100.00,100.00,94.87,99.08,19.07,80.60,0.00,51.10
276,0.0054,100.00,100.00,93.43,98.83,9.10,73.54,0.00,44.21
281,0.0008,100.00,100.00,93.87,98.91,9.27,71.16,0.00,43.08
286,0.0013,100.00,100.00,92.53,98.67,9.07,71.80,0.00,44.03
291,0.0012,100.00,100.00,88.03,97.87,3.47,66.17,0.00,42.69
296,0.0008,100.00,100.00,87.60,97.78,3.60,68.23,0.00,44.16
300,0.0011,100.00,100.00,88.17,97.88,3.53,65.61,0.00,42.53
